# Cross-world profiling summary
# Worlds analyzed: 3k_shapes_dynamic, 3k_shapes_static, gpu_lidar, jetty_headless, sensors_demo, sensors_nonrendering
# Date: 2026-05-02 16:34
# Ranked by max_score desc, then worlds_present desc
rank	function_name	max_score	worlds_present	worst_world	cpu_range	cache_range	evidence
1	gz::sim::v11::systems::SensorsPrivate::RenderThread	45	3/6	gpu_lidar (5.4%)	5.4-23.6%	1.2-8.1	cpu,cache
2	gz::sim::v11::SimulationRunner::Step	40	6/6	3k_shapes_dynamic (97.9%)	28.6-98.5%	-	cpu
3	gz::sim::v11::systems::Physics::Update	40	6/6	3k_shapes_dynamic (87.1%)	24.0-87.1%	-	cpu
4	gz::sim::v11::SimulationRunner::Run	40	6/6	3k_shapes_dynamic (98.0%)	28.9-98.6%	0.2-0.4	cpu,cache
5	gz::physics::dartsim::SimulationFeatures::WorldForwardStep	40	6/6	3k_shapes_dynamic (82.7%)	21.5-82.7%	-	cpu
6	gz::sim::v11::systems::PhysicsPrivate::Step	40	6/6	3k_shapes_dynamic (83.3%)	21.8-83.3%	-	cpu
7	gz::sim::v11::SimulationRunner::UpdateSystems	40	6/6	3k_shapes_dynamic (87.1%)	25.2-87.1%	-	cpu
8	gz::sim::v11::SimulationRunner::ProcessRecreateEntitiesRemove	40	6/6	3k_shapes_dynamic (10.8%)	1.7-45.0%	-	cpu
9	void gz::sim::v11::EntityComponentManager::EachNoCache<gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::ModelTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > >, gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::RecreateTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > > >	40	6/6	3k_shapes_dynamic (10.8%)	1.5-45.2%	-	cpu
10	gz::sim::v11::ServerPrivate::Run	40	6/6	3k_shapes_dynamic (98.0%)	28.9-98.6%	0.2-0.3	cpu,cache
11	gz::math::v10::graph::Graph<unsigned long, bool, gz::math::v10::graph::DirectedEdge<bool> >::Vertices	40	5/6	3k_shapes_static (13.6%)	1.5-13.6%	0.2-1.1	cpu,cache
12	gz::sim::v11::SimulationRunner::ProcessSystemQueue	40	4/6	gpu_lidar (11.9%)	0.9-42.7%	0.0-1.1	cpu,cache
13	gz::sim::v11::systems::SensorsPrivate::RunOnce	40	3/6	jetty_headless (23.6%)	5.4-23.6%	-	cpu
14	gz::sim::v11::Barrier::Wait	40	3/6	sensors_nonrendering (38.2%)	1.9-38.2%	-	cpu
15	gz::sim::v11::EntityComponentManager::EntityMatches	40	2/6	3k_shapes_static (28.1%)	6.6-28.1%	0.4-2.0	cpu,cache
16	gz::physics::ForwardStep::World<gz::physics::FeaturePolicy<double, 3ul>, gz::sim::v11::systems::PhysicsPrivate::MinimumFeatureList>::Step	40	2/6	3k_shapes_dynamic (83.3%)	52.0-83.3%	-	cpu
17	gz::sim::v11::loadMesh	40	1/6	jetty_headless (13.5%)	13.5-13.5%	-	cpu
18	gz::common::MeshManager::Load	40	1/6	jetty_headless (13.5%)	13.5-13.5%	-	cpu
19	gz::common::AssimpLoader::Load	40	1/6	jetty_headless (12.9%)	12.9-12.9%	-	cpu
20	gz::sim::v11::RenderUtil::Update	40	1/6	jetty_headless (23.5%)	23.5-23.5%	-	cpu
21	gz::sim::v11::SceneManager::LoadGeometry	40	1/6	jetty_headless (23.4%)	23.4-23.4%	-	cpu
22	gz::sim::v11::SceneManager::CreateVisual	40	1/6	jetty_headless (23.5%)	23.5-23.5%	-	cpu
23	gz::common::AssimpLoader::Implementation::CreateMaterial	40	1/6	jetty_headless (10.9%)	10.9-10.9%	-	cpu
24	std::pair<std::_Rb_tree_iterator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, bool> std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_emplace_unique<std::pair<unsigned long, gz::math::v10::graph::Vertex<unsigned long> const&> >	25	5/6	3k_shapes_static (5.7%)	1.4-5.7%	0.1-0.8	cpu,cache
25	gz::sim::v11::systems::PhysicsPrivate::UpdateSim	25	5/6	sensors_nonrendering (8.3%)	0.7-8.3%	-	cpu
26	gz::physics::dartsim::SimulationFeatures::Write	25	4/6	3k_shapes_static (7.1%)	0.6-7.1%	-	cpu
27	gz::physics::dartsim::BitmaskContactFilter::ignoresCollision	25	3/6	3k_shapes_static (5.4%)	1.8-6.6%	-	cpu
28	gz::sim::v11::EntityComponentManager::ComponentImplementation	25	3/6	3k_shapes_dynamic (0.9%)	0.5-1.5%	2.6-3.1	cpu,cache
29	std::pair<std::_Rb_tree_iterator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, bool> std::map<unsigned long, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const>, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::emplace<std::pair<unsigned long, gz::math::v10::graph::Vertex<unsigned long> const&> >	25	2/6	3k_shapes_static (5.6%)	2.1-5.6%	0.3-0.8	cpu,cache
30	std::_Rb_tree_const_iterator<std::pair<unsigned long const, gz::math::v10::graph::Vertex<unsigned long> > >::operator++	25	2/6	3k_shapes_static (7.5%)	1.3-7.5%	0.2-1.8	cpu,cache
31	gz::sim::v11::RenderUtil::UpdateFromECM	25	2/6	gpu_lidar (5.2%)	1.6-5.2%	-	cpu
32	gz::sensors::v11::Manager::RunOnce	25	2/6	sensors_demo (7.3%)	4.4-7.3%	-	cpu
33	gz::sensors::v11::Sensor::Update	25	2/6	sensors_demo (7.3%)	4.4-7.3%	-	cpu
34	gz::sensors::v11::RenderingSensor::Render	25	2/6	sensors_demo (6.3%)	3.4-6.3%	-	cpu
35	gz::sim::v11::systems::Sensors::PostUpdate	25	2/6	gpu_lidar (5.6%)	1.9-5.6%	-	cpu
36	gz::common::Image::SetFromCompressedData	25	1/6	jetty_headless (7.5%)	7.5-7.5%	-	cpu
37	gz::rendering::v11::Ogre2MeshFactory::Create	25	1/6	jetty_headless (9.8%)	9.8-9.8%	-	cpu
38	stbi__load_and_postprocess_8bit	25	1/6	jetty_headless (7.4%)	7.4-7.4%	0.2-0.2	cpu,cache
39	gz::common::Image::Implementation::DataWithChannels	25	1/6	jetty_headless (6.9%)	6.9-6.9%	-	cpu
40	gz::rendering::v11::BaseScene::CreateMesh	25	1/6	jetty_headless (9.9%)	9.9-9.9%	-	cpu
41	gz::rendering::v11::Ogre2Material::SetTextureMapDataImpl	25	1/6	jetty_headless (8.7%)	8.7-8.7%	-	cpu
42	gz::rendering::v11::Ogre2MeshFactory::OgreItem	25	1/6	jetty_headless (9.7%)	9.7-9.7%	-	cpu
43	gz::common::AssimpLoader::Implementation::LoadTexture	25	1/6	jetty_headless (7.5%)	7.5-7.5%	-	cpu
44	gz::common::Image::RGBAData	25	1/6	jetty_headless (7.7%)	7.7-7.7%	-	cpu
45	stbi__load_main	25	1/6	jetty_headless (7.2%)	7.2-7.2%	0.2-0.2	cpu,cache
46	gz::common::AssimpLoader::Implementation::LoadEmbeddedTexture	25	1/6	jetty_headless (7.5%)	7.5-7.5%	-	cpu
47	gz::rendering::v11::BaseMaterial<gz::rendering::v11::Ogre2Object>::CopyFrom	25	1/6	jetty_headless (8.7%)	8.7-8.7%	-	cpu
48	gz::rendering::v11::Ogre2MeshFactory::LoadImpl	25	1/6	jetty_headless (8.9%)	8.9-8.9%	-	cpu
49	gz::rendering::v11::Ogre2Scene::CreateMeshImpl	25	1/6	jetty_headless (9.8%)	9.8-9.8%	-	cpu
50	gz::sim::v11::systems::PhysicsPrivate::UpdatePhysics	10	5/6	gpu_lidar (1.0%)	0.5-3.9%	-	cpu
51	gz::transport::v16::Node::Publisher::Publish	10	3/6	sensors_nonrendering (1.1%)	0.5-1.1%	-	cpu
52	void gz::physics::CanWriteRequiredData<gz::physics::dartsim::SimulationFeatures, gz::physics::RequireData<gz::physics::WorldPoses> >::WriteRequiredData<gz::physics::SpecifyData<gz::physics::RequireData<gz::physics::WorldPoses>, gz::physics::ExpectData<gz::physics::ChangedWorldPoses, gz::physics::Contacts, gz::physics::JointPositions> > >	10	3/6	3k_shapes_dynamic (2.3%)	0.5-3.4%	-	cpu
53	gz::transport::v16::pollSockets	10	3/6	sensors_demo (1.1%)	0.7-1.3%	0.1-0.1	cpu,cache
54	gz::transport::v16::Discovery<gz::transport::v16::ServicePublisher>::RecvMessages	10	3/6	sensors_nonrendering (1.2%)	0.6-1.2%	0.2-0.3	cpu,cache
55	gz::transport::v16::Discovery<gz::transport::v16::MessagePublisher>::RecvMessages	10	3/6	sensors_nonrendering (1.0%)	0.6-1.0%	-	cpu
56	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_erase	10	3/6	3k_shapes_static (1.9%)	0.6-1.9%	0.1-0.8	cpu,cache
57	gz::sim::v11::EntityComponentManager::FindView	10	3/6	gpu_lidar (2.4%)	1.0-3.6%	-	cpu
58	gz::sim::v11::systems::PhysicsPrivate::CreatePhysicsEntities	10	2/6	sensors_nonrendering (1.0%)	0.5-1.0%	-	cpu
59	std::_Rb_tree_node<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >* std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_create_node<std::pair<unsigned long, gz::math::v10::graph::Vertex<unsigned long> const&> >	10	2/6	3k_shapes_dynamic (1.8%)	1.8-3.5%	0.1-0.4	cpu,cache
60	gz::sim::v11::EntityComponentManager::ClearNewlyCreatedEntities	10	2/6	gpu_lidar (1.0%)	0.6-1.0%	-	cpu
61	std::map<unsigned long, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const>, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::~map	10	2/6	3k_shapes_static (1.8%)	0.6-1.8%	0.1-0.8	cpu,cache
62	gz::sensors::v11::GpuLidarSensor::Update	10	2/6	gpu_lidar (4.4%)	1.3-4.4%	-	cpu
